letter frequency
q 0.00022158209616662973
w 0.014181254154664303
e 0.08021271881231996
r 0.034566807001994236
t 0.055617106137824064
y 0.016840239308663858
u 0.02526035896299579
i 0.04896964325282517
o 0.06049191225348992
p 0.01750498559716375
[ 0.0
] 0.0
\ 0.0
{ 0.0
} 0.0
| 0.0
a 0.08885442056281852
s 0.04032794150232661
d 0.028362508309328606
f 0.014181254154664303
g 0.022822955905162864
h 0.028140926213161978
j 0.0022158209616662972
k 0.013294925769997783
l 0.0268114336361622
; 0.0
' 0.0011079104808331486
: 0.00044316419233325947
" 0.00022158209616662973
z 0.0
x 0.0019942388654996678
c 0.019720806558830045
v 0.007533791269665411
b 0.013294925769997783
n 0.06979836029248837
m 0.027476179924662086
< 0.0
> 0.0
/ 0.00022158209616662973
, 0.006425880788832263
. 0.006647462884998892
? 0.0006647462884998893
` 0.0
1 0.00044316419233325947
2 0.00022158209616662973
3 0.0
4 0.0
5 0.0
6 0.0
7 0.00022158209616662973
8 0.00022158209616662973
9 0.0
0 0.0
- 0.00044316419233325947
= 0.0
~ 0.0
! 0.00022158209616662973
@ 0.0
# 0.0
$ 0.0
% 0.0
^ 0.0
& 0.0
* 0.0
( 0.00044316419233325947
) 0.00044316419233325947
_ 0.0
+ 0.0
space 0.198094393972967
Q 0.00022158209616662973
W 0.00022158209616662973
E 0.00022158209616662973
R 0.0
T 0.0006647462884998893
Y 0.0
U 0.00044316419233325947
I 0.005539552404165743
O 0.00022158209616662973
P 0.00022158209616662973
A 0.002437403057832927
S 0.0008863283846665189
D 0.00044316419233325947
F 0.0006647462884998893
G 0.00022158209616662973
H 0.0013294925769997785
J 0.0
K 0.00044316419233325947
L 0.0008863283846665189
Z 0.0
X 0.0
C 0.00022158209616662973
V 0.00022158209616662973
B 0.00022158209616662973
N 0.00044316419233325947
M 0.00022158209616662973
