letter frequency
q 0.0
w 0.005980039597559497
e 0.019273506000242434
r 0.01884924643419936
t 0.036890379409269064
y 0.018404784031678046
u 0.02301103074871712
i 0.05418400743464383
o 0.029597155440623864
p 0.029637561113580346
[ 2.0202836478241545e-05
] 0.0
\ 0.0
{ 0.0
} 0.0
| 0.0
a 0.17984565032930624
s 0.03644591700674775
d 0.010242838094468463
f 0.001111156006303285
g 0.07369994747262516
h 0.010141823912077255
j 6.0608509434724636e-05
k 0.025051517233019516
l 0.029354721402884965
; 0.00036365105660834783
' 0.0006464907673037295
: 0.00024243403773889854
" 0.0010505474968685604
z 0.00010101418239120772
x 6.0608509434724636e-05
c 0.001111156006303285
v 0.0004040567295648309
b 0.010909531698250435
n 0.09669077538486404
m 0.025293951270758414
< 0.0
> 0.0
/ 0.0005252737484342802
, 0.002848599943432058
. 0.0069901814214715745
? 0.0002828397106953816
` 0.0
1 0.0017576467736070145
2 0.0012121701886944928
3 0.0006262879308254879
4 0.0005050709119560386
5 0.0004848680754777971
6 0.00024243403773889854
7 0.00036365105660834783
8 0.0002626368742171401
9 0.0005858822578690048
0 0.0005858822578690048
- 0.003333468018909855
= 0.0
~ 0.0
! 0.0
@ 0.0
# 0.0
$ 0.0
% 8.081134591296618e-05
^ 0.0
& 4.040567295648309e-05
* 0.0
( 0.0012121701886944928
) 0.0012121701886944928
_ 0.0
+ 0.0
space 0.2171804921410966
Q 8.081134591296618e-05
W 0.00018182552830417391
E 0.0008687219685643864
R 0.00042425956604307246
T 0.000888924805042628
Y 8.081134591296618e-05
U 0.0004040567295648309
I 0.0010707503333468019
O 0.0002626368742171401
P 0.0017980524465634976
A 0.0021415006666936037
S 0.00195967513838943
D 0.00042425956604307246
F 0.0028081942704755746
G 0.0003030425471736232
H 0.0003030425471736232
J 2.0202836478241545e-05
K 0.0015354155723463574
L 0.0008081134591296618
Z 4.040567295648309e-05
X 4.040567295648309e-05
C 0.0007070992767384541
V 8.081134591296618e-05
B 0.0007677077861731787
N 0.0009293304779991111
M 0.0011515616792597682
