letter frequency
q 0.0003852052241337972
w 0.006934372610845461
e 0.023571483503806813
r 0.020348471619671477
t 0.035484797625887236
y 0.02014218438278949
u 0.02159162365246029
i 0.05888120840891921
o 0.03821403205595089
p 0.020922999669759468
[ 0.0
] 0.0
\ 1.9226332384834268e-05
{ 0.0
} 0.0
| 3.325024541847809e-05
a 0.16162401436772508
s 0.03754608664968718
d 0.01393705524969351
f 0.002321862375650868
g 0.059761095855707505
h 0.013681458125048066
j 0.000406014901538559
k 0.022505892305395587
l 0.02927243034412873
; 0.00033227626203907696
' 0.0012368186527091033
: 0.00047274158452121907
" 0.0012465449149743723
z 0.0005808614301676989
x 0.0004279555396718404
c 0.006360523137194584
v 0.0016876195990970409
b 0.013411158510931866
n 0.09426218383992835
m 0.02553935517143103
< 0.0
> 0.0
/ 0.00016285834490683147
, 0.008059452343576821
. 0.007668366123654722
? 0.0008642801887347263
` 5.202419351190449e-06
1 0.0009144948450809994
2 0.000697576577350928
3 0.0003793242283454949
4 0.00028771640933540225
5 0.0003580621666493253
6 0.0002345612550949781
7 0.00021126346408747301
8 0.0002132991933988084
9 0.00028228779783850787
0 0.0008032083093946645
- 0.0024329227191914986
= 4.9762272054865165e-06
~ 0.0004609795929446146
! 0.00042116977530072243
@ 9.047685828157303e-07
# 6.016711075724607e-05
$ 1.3119144450828089e-05
% 2.0357293113353933e-05
^ 2.013110096765e-05
& 2.103586955046573e-05
* 5.428611496894382e-05
( 0.0005480635690406286
) 0.0005421825732523264
_ 0.002529959149698486
+ 1.7190603073498874e-05
space 0.171132679788827
Q 0.0002666805397849365
W 0.00050327752419125
E 0.004015136778390507
R 0.0021691826773007133
T 0.0019314547321658802
Y 0.0005105156728537759
U 0.001516392144799164
I 0.002754794142528195
O 0.0023763746827655157
P 0.0025383282590895314
A 0.006120759462748416
S 0.004688058411859706
D 0.0019036330982442967
F 0.0005437659182722539
G 0.0011818539613030477
H 0.002484720720557699
J 0.0015919403214642775
K 0.0017726678458817196
L 0.0014625584141216281
Z 6.898860443969943e-05
X 0.005068965985225129
C 0.0014686656020556342
V 0.00039357433352484267
B 0.0017808107631270612
N 0.00295927184224455
M 0.004565462268888175
