letter frequency
q 0.0
w 0.00495529462458257
e 0.01077237961865776
r 0.018420769147904772
t 0.03533340514919746
y 0.026715501454271248
u 0.02499192071528601
i 0.07519120973823118
o 0.03253258644834644
p 0.021329311644942367
[ 0.0
] 0.0
\ 0.0
{ 0.0
} 0.0
| 0.0
a 0.19142518582354842
s 0.03565657653775719
d 0.01400409350425509
f 0.0
g 0.06872778196703652
h 0.01217278896908327
j 0.0
k 0.0235915113648605
l 0.028546805989443067
; 0.0
' 0.002477647312291285
: 0.0
" 0.0
z 0.0
x 0.0
c 0.00010772379618657762
v 0.0
b 0.014111817300441667
n 0.12776042227728104
m 0.019498007109770548
< 0.0
> 0.0
/ 0.0
, 0.005709361197888614
. 0.008725627491112787
? 0.0
` 0.0
1 0.00010772379618657762
2 0.00010772379618657762
3 0.0
4 0.0
5 0.00010772379618657762
6 0.0
7 0.0
8 0.00010772379618657762
9 0.0
0 0.00043089518474631047
- 0.0011849617580523537
= 0.0
~ 0.0
! 0.0
@ 0.0
# 0.0
$ 0.0
% 0.0
^ 0.0
& 0.0
* 0.0
( 0.0
) 0.0
_ 0.0
+ 0.0
space 0.16190886566842616
Q 0.0
W 0.0
E 0.0
R 0.00010772379618657762
T 0.00010772379618657762
Y 0.0
U 0.00010772379618657762
I 0.0021544759237315525
O 0.0
P 0.0017235807389852419
A 0.0035548852741570615
S 0.0021544759237315525
D 0.0072174943445007
F 0.00043089518474631047
G 0.00032317138855973286
H 0.0008617903694926209
J 0.005817084994075191
K 0.0007540665733060433
L 0.0011849617580523537
Z 0.0
X 0.0
C 0.00043089518474631047
V 0.00010772379618657762
B 0.0012926855542389315
N 0.002046752127544975
M 0.0021544759237315525
